Bandit,Reward,Algorithm
3.0,3.113250687022983,ThompsonSampling
2.0,4.999776741348339,ThompsonSampling
2.0,2.324770015328295,ThompsonSampling
3.0,3.056914560224125,ThompsonSampling
3.0,6.297572047821499,ThompsonSampling
3.0,3.199219493780663,ThompsonSampling
3.0,5.2138884750290515,ThompsonSampling
3.0,6.174415056591069,ThompsonSampling
3.0,3.022729486631956,ThompsonSampling
3.0,3.970714579932244,ThompsonSampling
3.0,3.1859245298438625,ThompsonSampling
3.0,3.329591474103662,ThompsonSampling
3.0,3.302274868201243,ThompsonSampling
3.0,3.738946603926767,ThompsonSampling
3.0,2.5908382309489975,ThompsonSampling
3.0,3.0984305384182944,ThompsonSampling
3.0,4.968964321387662,ThompsonSampling
3.0,5.239218202813491,ThompsonSampling
3.0,3.9653092582394596,ThompsonSampling
3.0,3.0489667102055877,ThompsonSampling
3.0,5.019406166657741,ThompsonSampling
3.0,4.3868535597451945,ThompsonSampling
3.0,3.0182679790767275,ThompsonSampling
3.0,6.188470091959202,ThompsonSampling
3.0,3.1961249932488762,ThompsonSampling
3.0,2.386716517619769,ThompsonSampling
3.0,4.287080314749592,ThompsonSampling
3.0,5.656818213423043,ThompsonSampling
3.0,4.74993040628688,ThompsonSampling
3.0,2.3141062917810458,ThompsonSampling
3.0,3.887893104690676,ThompsonSampling
3.0,4.450405303693806,ThompsonSampling
3.0,3.9323007819234914,ThompsonSampling
3.0,3.831505172628611,ThompsonSampling
3.0,4.462542477434607,ThompsonSampling
3.0,3.905762906917639,ThompsonSampling
3.0,4.827571880484526,ThompsonSampling
3.0,2.666087430695576,ThompsonSampling
3.0,4.399367621692611,ThompsonSampling
3.0,3.200572309971861,ThompsonSampling
3.0,5.19876643131635,ThompsonSampling
3.0,3.684370245880083,ThompsonSampling
3.0,4.099500549797856,ThompsonSampling
3.0,2.914492375093042,ThompsonSampling
3.0,4.231409244874963,ThompsonSampling
3.0,4.398631242097132,ThompsonSampling
3.0,4.788557964282843,ThompsonSampling
3.0,4.738984315782843,ThompsonSampling
3.0,3.9398878260557337,ThompsonSampling
3.0,4.293986805639608,ThompsonSampling
3.0,4.359328903975943,ThompsonSampling
3.0,4.423328962814155,ThompsonSampling
3.0,3.7562388133703464,ThompsonSampling
3.0,5.096504289472939,ThompsonSampling
3.0,4.963020906044074,ThompsonSampling
3.0,3.2080002609811156,ThompsonSampling
3.0,4.888224186156065,ThompsonSampling
3.0,3.994235958243841,ThompsonSampling
3.0,2.0448891420480817,ThompsonSampling
3.0,3.460458179498041,ThompsonSampling
3.0,3.1717975473899855,ThompsonSampling
3.0,5.356285847175785,ThompsonSampling
3.0,4.422116955478012,ThompsonSampling
3.0,3.9991122090516433,ThompsonSampling
3.0,5.237903134885703,ThompsonSampling
3.0,4.4084324401789345,ThompsonSampling
3.0,3.7354680840474965,ThompsonSampling
3.0,3.7745957361132487,ThompsonSampling
3.0,5.408105698754805,ThompsonSampling
3.0,4.506092456710656,ThompsonSampling
3.0,4.3663788398404755,ThompsonSampling
3.0,5.133806176883837,ThompsonSampling
3.0,4.81305543384835,ThompsonSampling
3.0,4.771186599395117,ThompsonSampling
3.0,4.18686797295088,ThompsonSampling
3.0,3.282793031143628,ThompsonSampling
3.0,4.849301688436508,ThompsonSampling
3.0,4.738745295099614,ThompsonSampling
3.0,4.546424020217077,ThompsonSampling
3.0,2.2053256358401496,ThompsonSampling
3.0,5.237456772123831,ThompsonSampling
3.0,3.094678168270186,ThompsonSampling
3.0,3.3627769100239195,ThompsonSampling
3.0,4.115020317908091,ThompsonSampling
3.0,4.258461363999626,ThompsonSampling
3.0,4.5575756744585085,ThompsonSampling
3.0,3.943502460926282,ThompsonSampling
3.0,4.44382665381197,ThompsonSampling
3.0,2.739739247033455,ThompsonSampling
3.0,1.8972123686936557,ThompsonSampling
3.0,6.37239789093106,ThompsonSampling
3.0,1.8512383369061185,ThompsonSampling
3.0,4.503307843482719,ThompsonSampling
3.0,3.3106526092062207,ThompsonSampling
3.0,4.352087027649118,ThompsonSampling
3.0,4.9872192313517925,ThompsonSampling
3.0,4.505021870142122,ThompsonSampling
3.0,3.5477172287388297,ThompsonSampling
3.0,3.9666864842722793,ThompsonSampling
3.0,2.1222026908134612,ThompsonSampling
3.0,2.8987839401825157,ThompsonSampling
3.0,4.197632978690252,ThompsonSampling
3.0,4.172810810064996,ThompsonSampling
3.0,4.346669292218696,ThompsonSampling
3.0,5.9297011632467385,ThompsonSampling
3.0,3.7866595943636403,ThompsonSampling
3.0,3.4509303099489053,ThompsonSampling
3.0,4.420237960950229,ThompsonSampling
3.0,4.091231667410242,ThompsonSampling
3.0,2.5303172960448848,ThompsonSampling
3.0,4.942093261895606,ThompsonSampling
